Molecule	Name
CC(=O)CC(c1ccc(cc1)[N+]([O-])=O)c1c(O)c2ccccc2oc1=O	Acenocoumarol
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O	Warfarin
CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O	Pentoxifylline
CC(=O)CO	hydroxyacetone
CC(=O)C[NH3+]	ammonioacetone
CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I	Iodixanol
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I	Iohexol
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	Deferoxamine
CC(=O)N1CCN(CC1)c1ccc(OCC2COC(Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1	Ketoconazole
CC(=O)NCCCC([O-])=O	4-acetamidobutanoate
CC(=O)NCCCC=O	4-acetamidobutanal
CC(=O)NCCCS(O)(=O)=O	Acamprosate
CC(=O)NCCC[NH2+]CCCC[NH2+]CCCNC(C)=O	N(1),N(12)-diacetylsperminium(2+)
CC(=O)NCCC[NH2+]CCCC[NH2+]CCC[NH3+]	N(1)-acetylsperminium(3+)
CC(=O)NCCC[NH2+]CCCC[NH3+]	N(1)-acetylspermidinium(2+)
CC(=O)NCCc1c[nH]c2ccc(O)cc12	N-acetylserotonin
CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(N2CCOCC2)c(F)c1	Linezolid
CC(=O)NO	Acetohydroxamic Acid
CC(=O)NS(=O)(=O)c1ccc(N)cc1	Sulfacetamide
CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO	N-acetyl-D-glucosamine
CC(=O)N[C@@H](C=O)[C@H](O)[C@@H](O)[C@@H](O)CO	N-acetyl-D-mannosamine
CC(=O)N[C@@H](CCC([O-])=O)C([O-])=O	N-acetyl-L-glutamate(2-)
CC(=O)N[C@@H](CCC=O)C([O-])=O	2-acetamido-5-oxopentanoate
CC(=O)N[C@@H](CCCN)C(O)=O	N(2)-acetyl-L-ornithine
CC(=O)N[C@@H](CS)C(O)=O	Acetylcysteine
CC(=O)N[C@@H]1[C@@H](O)CC(O)(O[C@H]1[C@H](O)[C@H](O)CO)C([O-])=O	N-acetylneuraminate
CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O)N=C(N)N	Zanamivir
CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O	Chitobiose
CC(=O)N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O	N-acetyl-D-galactosamine
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1OC(=C[C@H](O)[C@H]1O)C(O)=O	hyaluronan biosynthesis, precursor 1
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I	Diatrizoate
CC(=O)Nc1ccc(O)cc1	Acetaminophen
CC(=O)Nc1nnc(s1)S(N)(=O)=O	Acetazolamide
CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1	Roxatidine acetate
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C	Fluocinonide
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C	Amcinonide
CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(C)=O	Famciclovir
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CC#N)C2=O)C(O)=O	Cefacetrile
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc1ccncc1)C2=O)C(O)=O	Cephapirin
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1cccs1)C2=O)C(O)=O	Cefalotin
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c1ccccc1)C2=O)C(O)=O	Cephaloglycin
CC(=O)OCC[N+](C)(C)C	acetylcholine
CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-acetylcarnitine
CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(C)=O)C#C)[C@@H]3CCC2=C1	Ethynodiol Diacetate
CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@@]4(C)C(CC=C4c4cccnc4)C3CC=C2C1	Abiraterone 
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1	Rocuronium
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1	Vecuronium
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CC[N+](C)(C)CC1)N1CC[N+](C)(C)CC1	Pipecuronium
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1	Pancuronium
CC(=O)Oc1cc2CN(CCc2s1)C(C(=O)C1CC1)c1ccccc1F	Prasugrel
CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+]([O-])=O	Nitazoxanide
CC(=O)Oc1ccccc1C(O)=O	Acetylsalicylic acid
CC(=O)SC(CCS)CCCCC(N)=O	S-Acetyldihydrolipoamide
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12	Spironolactone
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C	Cyproterone
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	Megestrol
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	17alpha-hydroxypregnenolone
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	17alpha-hydroxyprogesterone
CC(=O)[C@H](N)C(O)=O	L-2-amino-3-oxobutanoic acid
CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C	Dydrogesterone
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	pregnenolone
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OS(O)(=O)=O	pregnenolone sulfate
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	progesterone
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	5alpha-Pregnane-3,20-dione
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	allopregnanolone
CC(=O)\N=c1/sc(nn1C)S(N)(=O)=O	Methazolamide
CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1	Acetohexamide
CC(=O)c1ccc2Sc3ccccc3N(CCCN3CCN(CCO)CC3)c2c1	Acetophenazine
CC(C(O)=O)C(O)=O	Methylmalonate
CC(C(O)=O)c1ccc(c(F)c1)-c1ccccc1	Flurbiprofen
CC(C(O)=O)c1ccc(cc1)C(=O)c1cccs1	Suprofen
CC(C(O)=O)c1ccc(s1)C(=O)c1ccccc1	Tiaprofenic acid
CC(C(O)=O)c1ccc2c(c1)[nH]c1ccc(Cl)cc21	Carprofen
CC(C(O)=O)c1cccc(Oc2ccccc2)c1	Fenoprofen
CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1	Ketoprofen
CC(C([O-])=O)C(O)(CC([O-])=O)C([O-])=O	2-methylcitrate(3-)
CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N	Anastrozole
CC(C)(C(=O)c1cccnc1)c1cccnc1	Metyrapone
CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1	Fexofenadine
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)[C@H](N)c1ccccc1)C2=O	Pivampicillin
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](\N=C\N1CCCCCC1)C2=O	Pivmecillinam
CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C	Boceprevir 
CC(C)(C)NC(=O)[C@@H]1CC2CCCCC2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	Saquinavir
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12	Indinavir
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C	Finasteride
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12	Nadolol
CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12	Carteolol
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1	Timolol
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1	Clenbuterol
CC(C)(C)NCC(O)c1cc(O)cc(O)c1	Terbutaline
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1	Salbutamol
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1	Pirbuterol
CC(C)(C)NC[C@H](O)COc1cccc2C(=O)CCCc12	Levobunolol
CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1	Penbutolol
CC(C)(C)S(=O)(=O)C[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](CC1CCCCC1)[C@H](O)[C@H](O)C1CC1	Remikiren
CC(C)(C)c1cc(c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O)C(C)(C)C	Ivacaftor
CC(C)(C)c1ccc(CN2CCN(CC2)C(c2ccccc2)c2ccc(Cl)cc2)cc1	Buclizine
CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1	Terfenadine
CC(C)(CO)C(O)C(=O)NCCC(O)=O	(R)-Pantothenate
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCS	pantetheine
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C([O-])=O	N-[(R)-pantothenoyl]-L-cysteinate
CC(C)(N)Cc1ccccc1	Phentermine
CC(C)(O)[C@@H]1C2OC(=O)C1[C@]1(O)C[C@H]3O[C@]33C(=O)O[C@H]2[C@]13C	Picrotoxin
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(O)=O)CC1)c1cccc(\C=C\c2ccc3ccc(Cl)cc3n2)c1	Montelukast
CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SCC(C[n+]3ccccc3)=C(N2C1=O)C([O-])=O)c1csc(N)n1)C(O)=O	Ceftazidime
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(O)=O	Bezafibrate
CC(C)(S)C(N)C(O)=O	Penicillamine
CC(C)(Sc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)Sc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C	Probucol
CC(C)=CCC\C(C)=C\CC\C(C)=C\CC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1	alpha-tocotrienol
CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\Cc1cc(cc(O)c1O)C(O)=O	3-Decaprenyl-4,5-dihdydroxybenzoate
CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CC[C@@H]1OC1(C)C	(S)-2,3-epoxysqualene
CC(C)=O	acetone
CC(C)C(=O)C([O-])=O	3-methyl-2-oxobutanoate
CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O	Flutamide
CC(C)C(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]21C)C1CCCCC1	Ciclesonide
CC(C)C(=O)SCCC(S)CCCCC(N)=O	S-(2-Methylpropanoyl)-dihydrolipoamide
CC(C)C(=O)c1c(nn2ccccc12)C(C)C	Ibudilast
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O	Aprobarbital
CC(C)C1CCC(CC1)C(=O)N[C@H](Cc1ccccc1)C(O)=O	Nateglinide
CC(C)CC(=O)C([O-])=O	4-methyl-2-oxopentanoate
CC(C)CC(=O)SCCC(S)CCCCC(N)=O	S-(3-Methylbutanoyl)-dihydrolipoamide
CC(C)CC(N(C)C)C1(CCC1)c1ccc(Cl)cc1	Sibutramine
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O	Butalbital
CC(C)CCC=O	4-methylpentanal
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1	(+)-alpha-tocopherol
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)cc(C)c2O1	beta-tocopherol
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2cc(O)c(C)c(C)c2O1	gamma-tocopherol
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)c2ccccc2C1=O	phylloquinone
CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3	24,25-Dihydrolanosterol
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3	5alpha-cholest-8-en-3beta-ol
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	cholesta-5,7-dien-3beta-ol
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	5alpha-cholest-7-en-3beta-ol
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	cholesterol
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OS(O)(=O)=O	cholesterol sulfate
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	7alpha-hydroxycholest-4-en-3-one
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4=CC(=O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	7alpha,12alpha-Dihydroxycholest-4-en-3-one
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	7alpha-hydroxy-5beta-cholestan-3-one
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	7alpha,12alpha-dihydroxy-5beta-cholestan-3-one
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	5beta-cholestane-3alpha,7alpha-diol
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	5beta-cholestane-3alpha,7alpha,12alpha-triol
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C	Alfacalcidol
CC(C)CCC[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	20-hydroxycholesterol
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1	Amprenavir
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1	Darunavir
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1	Bepridil
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C	Bromocriptine
CC(C)C[C@H](CN)CC(O)=O	Pregabalin
CC(C)C[C@H](N)C(O)=O	L-leucine
CC(C)C[C@H](NC(=O)CN)C(O)=O	Glycylleucine
CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1	Carfilzomib 
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O	Bortezomib
CC(C)Cc1ccc(cc1)C(C)C(O)=O	Ibuprofen
CC(C)Cn1cnc2c(N)nc3ccccc3c12	Imiquimod
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C	Disopyramide
CC(C)N(CC[C@H](c1ccccc1)c1cc(C)ccc1O)C(C)C	Tolterodine
CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1OC(=O)C(C)C)C(C)C	Fesoterodine
CC(C)N1CCN(CC1)c1ccc(OC[C@H]2CO[C@@](Cn3cncn3)(O2)c2ccc(Cl)cc2Cl)cc1	Terconazole
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1	Clofazimine
CC(C)NC(=O)NS(=O)(=O)c1cnccc1Nc1cccc(C)c1	Torasemide
CC(C)NCC(O)COc1cc(C)c(OC(C)=O)c(C)c1C	Metipranolol
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	Atenolol
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	Betaxolol
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1	Bisoprolol
CC(C)NCC(O)COc1ccc(NC(C)=O)cc1	Practolol
CC(C)NCC(O)COc1cccc2[nH]ccc12	Pindolol
CC(C)NCC(O)COc1cccc2ccccc12	Propranolol
CC(C)NCC(O)COc1ccccc1CC=C	Alprenolol
CC(C)NCC(O)COc1ccccc1OCC=C	Oxprenolol
CC(C)NCC(O)c1cc(O)cc(O)c1	Orciprenaline
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1	Sotalol
CC(C)NCC(O)c1ccc(O)c(O)c1	Isoproterenol
CC(C)NCC1CCc2cc(CO)c(cc2N1)[N+]([O-])=O	Oxamniquine
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc12	Indecainide
CC(C)Nc1cccnc1N1CCN(CC1)C(=O)c1cc2cc(NS(C)(=O)=O)ccc2[nH]1	Delavirdine
CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1	Fenofibrate
CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\C(F)(F)COc1ccccc1	Tafluprost
CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COc1cccc(c1)C(F)(F)F	Travoprost
CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1/C[C@@H](O)CC[C@@H]1C	Dihydrotachysterol
CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	(24S)-24-hydroxycholesterol
CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	(24S)-7alpha,24-dihydroxycholesterol
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](C)N2C1=O	Ergoloid mesylate
CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c1[nH]c(N)nc2=O	Valganciclovir
CC(C)[C@H](N)C(=O)OCCOCn1cnc2c1[nH]c(N)nc2=O	Valaciclovir
CC(C)[C@H](N)C(O)=O	L-valine
CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)COc1c(C)cccc1C)Cc1ccccc1	Lopinavir
CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1	Ritonavir
CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C	Isopropamide
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc12)C(C)C	Propantheline
CC(C)[N@+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)c1ccccc1	Ipratropium bromide
CC(C)\N=C(/N)N=C(N)Nc1ccc(Cl)cc1	Proguanil
CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(O)=O)-c1ccccc1	Atorvastatin
CC(C)c1cc2CC[C@H]3[C@@](C)(CCC[C@]3(C)c2cc1S(O)(=O)=O)C(O)=O	Ecabet
CC(C)c1ccc(C)cc1OCC1=NCCN1	Tymazoline
CC(C)c1ccc2oc3nc(N)c(cc3c(=O)c2c1)C(O)=O	Amlexanox
CC(C)c1cccc(C(C)C)c1O	Propofol
CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(C)S(C)(=O)=O	Rosuvastatin
CC(C)c1nnc(C)n1C1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1	Maraviroc
CC(C)n1c(\C=C\[C@H](O)C[C@H](O)CC(O)=O)c(-c2ccc(F)cc2)c2ccccc12	Fluvastatin
CC(C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1	Dimethindene
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(O)=O	Tretinoin
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O	retinal
CC(C=O)C([O-])=O	2-methyl-3-oxopropanoate
CC(CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C=O	3alpha,7alpha-dihydroxy-5beta-cholestan-26-al
CC(CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)C=O	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al
CC(CCO)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C	Dolichol, human liver homolog
CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1	Dobutamine
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O	Labetalol
CC(CN(C)C)CN1c2ccccc2CCc2ccccc12	Trimipramine
CC(CN(C)C)CN1c2ccccc2Sc2ccccc12	Trimeprazine
CC(CN1c2ccccc2Sc2ccc(cc12)C(C)=O)N(C)C	Aceprometazine
CC(CN1c2ccccc2Sc2ccccc12)N(C)C	Promethazine
CC(CN1c2ccccc2Sc2cccnc12)N(C)C	Isothipendyl
